image,bounds,score,label
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 713.5838   168.0138  1773.5085   725.19086],1,0.996793
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 733.34796  146.46118 1761.5452   737.86346],0,0.23283155
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 932.89685  213.53525 1396.5837   710.03076],1,0.1838768
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[1071.2421   130.09242 1484.3623   603.8137 ],1,0.17638038
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 674.5516     10.240363 1781.5424   1080.0505  ],1,0.15566699
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 639.12317    0.      1806.8922   477.47614],1,0.13369225
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 749.7271  346.8412 1658.9066  860.5103],1,0.11928535
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[1151.8134   203.35503 1604.5787   722.72174],1,0.091280326
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[1011.3898  384.3382 1760.2103  736.535 ],1,0.073574565
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 799.4724   139.20422 1611.8701   490.4697 ],1,0.07239265
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[1272.4696   126.31649 1704.7065   651.0616 ],1,0.06570031
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 826.2333   177.51033 2006.2394  1071.3024 ],0,0.06273925
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 746.10455  215.55173 1243.5315   590.97375],1,0.05833891
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 978.4865   309.22128 1963.282   1028.3617 ],1,0.05692043
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[1313.5939   126.83087 2045.7937   886.16534],1,0.053697202
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[1052.0022    65.73467 2045.7937   627.97076],1,0.051461518
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 814.4982   313.71188 1266.9478   797.6756 ],1,0.050989293
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[667.2688 654.8984 767.1921 693.5335],0,0.8130535
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[847.62933 676.65533 957.1703  708.3298 ],0,0.6396688
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[667.5345  654.7837  767.09906 693.65576],1,0.19968723
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[839.2396  670.83636 974.2015  724.51227],0,0.14573866
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[642.0806 653.268  775.27   712.8525],0,0.08134652
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[657.05786 668.2649  749.8233  701.96045],0,0.0811453
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[691.68335 663.3628  764.44604 704.1366 ],0,0.07625732
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[847.62933 676.65533 957.1703  708.3298 ],1,0.07423379
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[852.46954 683.60095 939.8377  725.77405],0,0.054705214
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[667.2688 654.8984 767.1921 693.5335],0,0.8130535
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[847.62933 676.65533 957.1703  708.3298 ],0,0.6396688
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[667.5345  654.7837  767.09906 693.65576],1,0.19968723
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[839.2396  670.83636 974.2015  724.51227],0,0.14573866
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[642.0806 653.268  775.27   712.8525],0,0.08134652
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[657.05786 668.2649  749.8233  701.96045],0,0.0811453
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[691.68335 663.3628  764.44604 704.1366 ],0,0.07625732
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[847.62933 676.65533 957.1703  708.3298 ],1,0.07423379
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[852.46954 683.60095 939.8377  725.77405],0,0.054705214
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0035.jpg,[399.87543 655.46356 597.9302  719.27484],0,0.87377244
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0035.jpg,[737.6817  703.13336 924.2914  759.8527 ],0,0.80903304
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0035.jpg,[747.57294 707.3274  861.19574 749.3902 ],0,0.30158943
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0035.jpg,[399.6714  655.8264  598.0935  719.61255],1,0.1616283
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0035.jpg,[731.5717  711.8003  843.16504 765.7121 ],0,0.058790818
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0035.jpg,[399.87543 655.46356 597.9302  719.27484],0,0.87377244
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0035.jpg,[737.6817  703.13336 924.2914  759.8527 ],0,0.80903304
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0035.jpg,[747.57294 707.3274  861.19574 749.3902 ],0,0.30158943
