image,bounds,score,label
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 730.68945  143.58763 1770.1245   755.6866 ],1,0.83821
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 734.9516   159.47733 1742.8029   715.6219 ],0,0.44940326
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 527.52576  177.0905  1941.5162  1070.7244 ],1,0.30437753
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 511.56775    15.711879 1941.6908    799.96643 ],0,0.2779808
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 723.18146  382.19098 1616.9475   875.03796],1,0.1469823
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 811.28516  320.0492  1840.9612   943.61914],0,0.13612622
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 376.62924  311.4269  2045.7937  1291.508  ],0,0.12773904
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[1299.2212   197.86699 1768.9825   565.4016 ],1,0.10865177
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 979.50964  502.12964 1686.5007   846.52155],0,0.102238774
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 842.1684   249.30171 1488.776    843.45825],0,0.09528147
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 748.1619  313.8411 1191.1874  555.1353],1,0.084183805
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 749.0331   230.03944 1174.5707   427.15106],1,0.07141139
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 632.8635    126.267914 1488.1799    481.14728 ],0,0.06922427
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 946.4461  602.8159 1596.3584  999.841 ],0,0.06847809
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[1329.9613   275.16638 1823.789    597.82635],0,0.063258335
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 539.1606  522.3119 1681.8732 1213.0187],0,0.060956206
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 985.67267  426.69254 1949.4524   959.20197],1,0.057840317
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 893.1244   466.07324 1577.4695  1055.7937 ],1,0.056043386
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 800.4023   268.3045  1302.1848   491.98917],1,0.054828856
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 717.19006   19.49072 1669.3859   374.37207],0,0.05350595
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 745.9962  265.544  1367.8171  619.6969],0,0.051455297
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 737.42145  222.6181  1234.4298   466.2684 ],0,0.05104921
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 919.76117  114.89785 1778.6472   512.0724 ],1,0.050792046
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[848.675   673.82135 961.8384  710.7738 ],0,0.18436642
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[666.6947 655.0765 766.5921 693.9205],0,0.1729459
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[668.89655 657.1906  763.594   693.39087],1,0.14383012
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[849.9236  676.06805 956.0422  707.78613],1,0.1069477
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[840.97485 668.8789  989.80835 727.71704],0,0.06262391
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[850.84973 687.85095 954.0235  724.3629 ],1,0.062197737
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[667.55365 663.7682  772.8194  715.7937 ],1,0.061225697
