image,bounds,score,label
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 710.2623   174.95007 1779.7709   719.54846],1,0.99624455
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 764.08466  128.6489  1762.4337   709.2162 ],0,0.1723068
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 934.72845  215.67834 1396.8495   711.29083],1,0.16064578
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[1176.9015   124.25236 1609.9698   640.0858 ],1,0.1434804
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 638.19403    0.      1804.0165   478.83017],1,0.11677864
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 751.36816  371.66748 1652.2064   865.39886],1,0.103654176
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 674.26746    0.      1782.3011  1066.8901 ],1,0.08311622
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 707.60657  207.41313 1465.72     578.35706],1,0.066597976
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[1029.3617   397.38126 1755.8232   728.8772 ],1,0.06506617
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[1263.1637   186.07494 1759.8214   580.81995],1,0.06333929
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[1319.0972   132.02087 2045.7937   879.25055],1,0.05831491
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 796.6082   137.04483 1621.9642   487.40475],1,0.057501446
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[1005.079    320.77405 1973.5852  1019.4257 ],1,0.057342865
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 715.35077  215.8935  1179.5416   730.272  ],1,0.056715872
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[1051.4928    69.45685 2045.7937   629.41504],1,0.053306703
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 817.3893   325.81384 1257.9248   797.2585 ],1,0.051030677
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[666.4441  654.85876 768.0528  692.4185 ],0,0.79025
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[846.6206  674.3116  960.26715 708.80634],0,0.67363244
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[666.09985 654.7733  766.97003 692.3616 ],1,0.1379828
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[830.86395 663.41675 970.79407 719.48413],0,0.1159553
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[683.7864  662.12354 759.64667 703.0834 ],0,0.09586673
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[846.6969  676.1285  959.0671  707.90656],1,0.065693915
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[856.5253  683.24695 945.34705 726.4226 ],0,0.05607513
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[666.4441  654.85876 768.0528  692.4185 ],0,0.79025
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[846.6206  674.3116  960.26715 708.80634],0,0.67363244
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[666.09985 654.7733  766.97003 692.3616 ],1,0.1379828
